,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
49,77.419,17.0,1.13,13.0,22232.32523,0.30419999999999997,940.39569,1748295.0,2241.4,70.82,1.08,91.23,80.44800000000001,42.0,240.8929566,11.3,0.1,3.797039498,2.52,0.852,42.0,71.0
50,70.054,10.4,7.84,274.0,1590.95666,0.37779999999999997,113.31044,16946446.0,96.0,25.61,18.3,40.982,57.1,30.1,312.8228548,7.3,4.1,2.47424802,2.9,0.594,23.0,61.0
51,71.37,20.5,5.0,69.0,10041.48984,0.278,272.96524,19002586.0,7.04,13.82,1.15,65.01599999999999,83.772,40.9,476.0100809,6.6,1.2,1.698546445,3.08,0.825,37.0,76.0
52,66.991,12.0,2.15,259.0,2006.83224,0.43,83.41163,54985702.0,96.61,28.58,0.48,63.80800000000001,57.7,30.8,239.7538767,4.0,6.6,2.811582859,5.05,0.601,30.0,56.0
53,72.006,36.3,12.85,74.0,5314.53146,0.26,284.30713,2573928.0,89.61,16.25,1.81,67.426,85.40599999999999,42.7,404.955079,5.6,2.8,2.943723111,6.1,0.75,36.0,67.0
54,71.848,24.7,2.61,66.0,1983.06472,0.39780000000000004,98.57317,34915100.0,79.25,28.46,0.56,51.02,86.12,38.2,945.9730498,7.0,2.7,3.231887112,2.12,0.72,28.0,71.0
55,75.493,13.9,7.93,176.0,3694.01905,0.357,180.71819,98168829.0,316.6,29.63,10.44,55.763999999999996,79.674,20.1,303.9046642,6.1,2.9,3.230328636,2.94,0.704,39.0,70.0
56,64.194,7.2,4.46,319.0,1120.63017,0.38660000000000005,69.32438,18920657.0,25.45,27.44,0.35,65.01599999999999,50.49,38.4,339.5543642,11.9,8.1,2.348967125,5.72,0.584,33.0,55.0
57,74.655,12.9,0.52,4.7,4405.83942,0.3358,334.04422,10269022.0,115.67,33.01,0.31,82.27,98.52799999999999,43.6,248.8875416,15.4,1.6,4.287559213,3.49,0.729,49.0,60.0
58,73.123,17.0,0.98,58.0,5384.035,0.3296,193.10884,10145212.0,122.74,19.93,0.76,82.238,96.25,38.6,688.078219,5.6,3.0,2.09179039,2.68,0.756,30.0,65.0
